type,referent,time_ms,mean_prop,sd_prop,n_trial_bins,lower,upper
act,agent,0,0.389227,0.473782,414,0.342657,0.435797
act,agent,50,0.388309,0.475993,414,0.341522,0.435097
act,agent,100,0.385942,0.479128,414,0.338846,0.433038
act,agent,150,0.398116,0.465093,414,0.352400,0.443832
act,agent,200,0.451353,0.454660,414,0.406662,0.496043
act,agent,250,0.461787,0.474282,414,0.415168,0.508407
act,agent,300,0.487101,0.477513,414,0.440165,0.534038
act,agent,350,0.496763,0.482909,414,0.449296,0.544231
act,agent,400,0.507440,0.481918,414,0.460070,0.554810
act,agent,450,0.522077,0.485228,414,0.474382,0.569773
act,agent,500,0.517198,0.488766,414,0.469155,0.565241
act,agent,550,0.529903,0.484644,414,0.482265,0.577541
act,agent,600,0.549758,0.484998,414,0.502086,0.597431
act,agent,650,0.583140,0.479593,414,0.535999,0.630282
act,agent,700,0.589420,0.480401,414,0.542199,0.636641
act,agent,750,0.621014,0.471683,414,0.574651,0.667378
act,agent,800,0.621353,0.476704,414,0.574495,0.668210
act,agent,850,0.625507,0.466373,414,0.579665,0.671349
act,agent,900,0.620791,0.470199,413,0.574517,0.667065
act,agent,950,0.607410,0.469921,412,0.561107,0.653712
act,agent,1000,0.594404,0.477993,411,0.547249,0.641559
act,agent,1050,0.590954,0.476412,409,0.543839,0.638068
act,agent,1100,0.602990,0.475555,408,0.555903,0.650077
act,agent,1150,0.608346,0.473667,405,0.561272,0.655419
act,agent,1200,0.585572,0.474197,402,0.538271,0.632874
act,agent,1250,0.562406,0.486297,399,0.513715,0.611097
act,agent,1300,0.549056,0.489611,395,0.499786,0.598326
act,agent,1350,0.550746,0.480735,389,0.501997,0.599494
act,agent,1400,0.548260,0.487886,385,0.498530,0.597990
act,agent,1450,0.548263,0.481125,380,0.498901,0.597626
act,agent,1500,0.554750,0.480057,376,0.505236,0.604264
act,agent,1550,0.570815,0.482527,368,0.520508,0.621122
act,agent,1600,0.556000,0.483097,365,0.505427,0.606573
act,agent,1650,0.555971,0.481737,355,0.504835,0.607107
act,agent,1700,0.541077,0.486609,348,0.488907,0.593247
act,agent,1750,0.552470,0.481056,332,0.499667,0.605273
act,agent,1800,0.563364,0.485779,321,0.509137,0.617592
act,agent,1850,0.563852,0.482761,315,0.509451,0.618253
act,agent,1900,0.581373,0.484357,306,0.525995,0.636750
act,agent,1950,0.594483,0.476396,290,0.538533,0.650433
act,agent,2000,0.572401,0.477201,279,0.515263,0.629540
act,agent,2050,0.550665,0.487062,267,0.491049,0.610280
act,agent,2100,0.525000,0.491136,260,0.464082,0.585918
act,agent,2150,0.524286,0.485573,252,0.463109,0.585462
act,agent,2200,0.550509,0.485007,242,0.488154,0.612863
act,agent,2250,0.556870,0.487769,230,0.492545,0.621195
act,agent,2300,0.559636,0.483216,220,0.494480,0.624793
act,agent,2350,0.554717,0.486319,212,0.487916,0.621518
act,agent,2400,0.556187,0.488269,203,0.487647,0.624726
act,agent,2450,0.531399,0.485737,193,0.461471,0.601327
act,agent,2500,0.534845,0.488557,182,0.462416,0.607273
act,agent,2550,0.527684,0.490825,177,0.453898,0.601469
act,agent,2600,0.516023,0.492617,171,0.440681,0.591366
act,agent,2650,0.524430,0.488072,158,0.446772,0.602088
act,agent,2700,0.534868,0.492123,152,0.455035,0.614701
act,agent,2750,0.546197,0.482165,142,0.465272,0.627122
act,agent,2800,0.565882,0.485939,136,0.482544,0.649220
act,agent,2850,0.570615,0.484112,130,0.485697,0.655534
act,agent,2900,0.554754,0.488599,122,0.466283,0.643226
act,agent,2950,0.549391,0.481644,115,0.459564,0.639218
act,agent,3000,0.556147,0.488675,109,0.462534,0.649760
act,agent,3050,0.574717,0.481381,106,0.481205,0.668229
act,agent,3100,0.582687,0.485725,100,0.485542,0.679832
act,agent,3150,0.582316,0.477982,95,0.484236,0.680396
act,agent,3200,0.578298,0.482303,94,0.478806,0.677789
act,agent,3250,0.577079,0.493379,89,0.472482,0.681675
act,agent,3300,0.548385,0.482532,88,0.445509,0.651261
act,agent,3350,0.556190,0.486853,84,0.449950,0.662431
act,agent,3400,0.548260,0.488505,79,0.438338,0.658183
act,agent,3450,0.525405,0.490158,74,0.411446,0.639365
act,patient,0,0.399517,0.476380,414,0.352691,0.446343
act,patient,50,0.405024,0.476543,414,0.358183,0.451866
act,patient,100,0.414783,0.484531,414,0.367156,0.462409
act,patient,150,0.428744,0.473057,414,0.382245,0.475243
act,patient,200,0.438599,0.456668,414,0.393711,0.483487
act,patient,250,0.472174,0.477985,414,0.425191,0.519157
act,patient,300,0.461498,0.476391,414,0.414671,0.508324
act,patient,350,0.454106,0.481294,414,0.406798,0.501415
act,patient,400,0.438309,0.477988,414,0.391326,0.485293
act,patient,450,0.418647,0.476507,414,0.371809,0.465485
act,patient,500,0.419324,0.482483,414,0.371898,0.466749
act,patient,550,0.400097,0.472375,414,0.353665,0.446529
act,patient,600,0.375652,0.472244,414,0.329233,0.422071
act,patient,650,0.347101,0.460109,414,0.301875,0.392328
act,patient,700,0.340918,0.462190,414,0.295487,0.386349
act,patient,750,0.313961,0.450879,414,0.269642,0.358280
act,patient,800,0.303961,0.450555,414,0.259674,0.348249
act,patient,850,0.282512,0.436148,414,0.239641,0.325383
act,patient,900,0.266764,0.425969,413,0.224842,0.308685
act,patient,950,0.263464,0.426998,412,0.221391,0.305538
act,patient,1000,0.271922,0.432798,411,0.229225,0.314619
act,patient,1050,0.285428,0.437633,409,0.242149,0.328707
act,patient,1100,0.272598,0.431446,408,0.229879,0.315318
act,patient,1150,0.273383,0.432579,405,0.230393,0.316373
act,patient,1200,0.294279,0.439549,402,0.250433,0.338124
act,patient,1250,0.320150,0.454701,399,0.274623,0.365677
act,patient,1300,0.327754,0.462567,395,0.281205,0.374303
act,patient,1350,0.338046,0.458078,389,0.291595,0.384497
act,patient,1400,0.338805,0.462686,385,0.291644,0.385967
act,patient,1450,0.336053,0.455790,380,0.289290,0.382816
act,patient,1500,0.335569,0.458191,376,0.288310,0.382828
act,patient,1550,0.318696,0.453208,368,0.271445,0.365946
act,patient,1600,0.339945,0.460204,365,0.291769,0.388122
act,patient,1650,0.350113,0.465932,355,0.300655,0.399572
act,patient,1700,0.352980,0.467168,348,0.302895,0.403066
act,patient,1750,0.334380,0.462182,332,0.283649,0.385111
act,patient,1800,0.324237,0.458720,321,0.273030,0.375443
act,patient,1850,0.327577,0.460082,315,0.275731,0.379422
act,patient,1900,0.335359,0.464826,306,0.282215,0.388504
act,patient,1950,0.329586,0.455238,290,0.276121,0.383051
act,patient,2000,0.337921,0.457145,279,0.283184,0.392658
act,patient,2050,0.347116,0.468187,267,0.289811,0.404421
act,patient,2100,0.365923,0.472366,260,0.307333,0.424513
act,patient,2150,0.376984,0.472019,252,0.317515,0.436453
act,patient,2200,0.371630,0.468436,242,0.311406,0.431854
act,patient,2250,0.354381,0.471094,230,0.292255,0.416507
act,patient,2300,0.335364,0.460564,220,0.273261,0.397466
act,patient,2350,0.340000,0.464864,212,0.276146,0.403854
act,patient,2400,0.341055,0.461455,203,0.276279,0.405830
act,patient,2450,0.354354,0.465123,193,0.287393,0.421314
act,patient,2500,0.345934,0.466471,182,0.276780,0.415088
act,patient,2550,0.355819,0.471451,177,0.284946,0.426692
act,patient,2600,0.393216,0.478818,171,0.319984,0.466449
act,patient,2650,0.387342,0.479152,158,0.311103,0.463580
act,patient,2700,0.381447,0.484166,152,0.302905,0.459989
act,patient,2750,0.375775,0.473010,142,0.296386,0.455163
act,patient,2800,0.356826,0.466914,136,0.276751,0.436901
act,patient,2850,0.353231,0.467595,130,0.271209,0.435252
act,patient,2900,0.338525,0.465328,122,0.254267,0.422782
act,patient,2950,0.346609,0.464295,115,0.260017,0.433200
act,patient,3000,0.340917,0.467122,109,0.251433,0.430402
act,patient,3050,0.324340,0.464356,106,0.234135,0.414544
act,patient,3100,0.333913,0.462878,100,0.241337,0.426489
act,patient,3150,0.346526,0.460901,95,0.251952,0.441101
act,patient,3200,0.356170,0.468347,94,0.259558,0.452783
act,patient,3250,0.349438,0.478369,89,0.248024,0.450852
act,patient,3300,0.379797,0.474307,88,0.278674,0.480920
act,patient,3350,0.370000,0.473373,84,0.266702,0.473298
act,patient,3400,0.383143,0.477661,79,0.275661,0.490625
act,patient,3450,0.395135,0.479872,74,0.283567,0.506703
pass,agent,0,0.414286,0.481814,168,0.339940,0.488631
pass,agent,50,0.437381,0.487008,168,0.362234,0.512528
pass,agent,100,0.473690,0.497106,168,0.396985,0.550396
pass,agent,150,0.460595,0.469396,168,0.388166,0.533025
pass,agent,200,0.453810,0.453948,168,0.383764,0.523855
pass,agent,250,0.450119,0.473059,168,0.377125,0.523114
pass,agent,300,0.447976,0.487654,168,0.372730,0.523223
pass,agent,350,0.450476,0.479321,168,0.376515,0.524437
pass,agent,400,0.456429,0.480829,168,0.382235,0.530622
pass,agent,450,0.469405,0.486936,168,0.394269,0.544541
pass,agent,500,0.506071,0.492214,168,0.430121,0.582022
pass,agent,550,0.527976,0.484644,168,0.453194,0.602758
pass,agent,600,0.533333,0.488226,168,0.457998,0.608668
pass,agent,650,0.566310,0.485232,168,0.491437,0.641182
pass,agent,700,0.609762,0.471146,168,0.537063,0.682461
pass,agent,750,0.640952,0.460075,168,0.569961,0.711943
pass,agent,800,0.653810,0.460315,168,0.582781,0.724838
pass,agent,850,0.636071,0.471305,168,0.563348,0.708795
pass,agent,900,0.633571,0.468711,168,0.561248,0.705895
pass,agent,950,0.661310,0.460908,168,0.590190,0.732429
pass,agent,1000,0.660119,0.460822,168,0.589013,0.731225
pass,agent,1050,0.643593,0.466865,167,0.571339,0.715847
pass,agent,1100,0.640244,0.469768,164,0.566878,0.713609
pass,agent,1150,0.615302,0.467468,164,0.542296,0.688309
pass,agent,1200,0.590683,0.479244,161,0.515144,0.666223
pass,agent,1250,0.568025,0.480133,157,0.491388,0.644663
pass,agent,1300,0.583467,0.481110,150,0.504902,0.662032
pass,agent,1350,0.563221,0.484674,149,0.483809,0.642633
pass,agent,1400,0.528299,0.484131,147,0.448438,0.608160
pass,agent,1450,0.511458,0.491003,141,0.428758,0.594158
pass,agent,1500,0.484706,0.490914,136,0.400515,0.568897
pass,agent,1550,0.474394,0.493922,132,0.388413,0.560375
pass,agent,1600,0.453023,0.484592,129,0.367691,0.538355
pass,agent,1650,0.422520,0.485321,127,0.336389,0.508650
pass,agent,1700,0.437243,0.478796,124,0.351249,0.523238
pass,agent,1750,0.418319,0.475613,119,0.331121,0.505518
pass,agent,1800,0.418376,0.486434,114,0.327259,0.509493
pass,agent,1850,0.408649,0.489821,111,0.315665,0.501632
pass,agent,1900,0.400748,0.486737,107,0.306638,0.494857
pass,agent,1950,0.381333,0.473752,105,0.288867,0.473800
pass,agent,2000,0.387451,0.472616,102,0.293859,0.481043
pass,agent,2050,0.398163,0.474297,98,0.302341,0.493986
pass,agent,2100,0.372222,0.475151,90,0.272052,0.472393
pass,agent,2150,0.388235,0.484014,85,0.283238,0.493233
pass,agent,2200,0.417590,0.484686,83,0.311188,0.523993
pass,agent,2250,0.424810,0.489188,79,0.314734,0.534886
pass,agent,2300,0.443733,0.492898,75,0.329904,0.557563
pass,agent,2350,0.459167,0.488498,72,0.344027,0.574307
pass,agent,2400,0.495493,0.492320,71,0.378638,0.612348
pass,agent,2450,0.575758,0.498015,66,0.453155,0.698360
pass,agent,2500,0.579692,0.474203,65,0.462057,0.697328
pass,agent,2550,0.558750,0.484815,64,0.437546,0.679954
pass,agent,2600,0.599032,0.484655,62,0.475930,0.722135
pass,agent,2650,0.585810,0.483409,60,0.460994,0.710625
pass,agent,2700,0.565714,0.493119,56,0.433923,0.697506
pass,agent,2750,0.576923,0.498867,52,0.438562,0.715284
pass,agent,2800,0.544082,0.496806,49,0.402137,0.686026
pass,agent,2850,0.531739,0.485882,46,0.388460,0.675018
pass,agent,2900,0.542791,0.476667,43,0.397409,0.688173
pass,agent,2950,0.494146,0.493928,41,0.339869,0.648424
pass,agent,3000,0.482000,0.498877,40,0.324241,0.639759
pass,agent,3050,0.456316,0.497493,38,0.294908,0.617724
pass,agent,3100,0.495263,0.499544,38,0.333190,0.657337
pass,agent,3150,0.469091,0.497823,33,0.295771,0.642410
pass,agent,3200,0.467879,0.497618,33,0.294631,0.641127
pass,agent,3250,0.465806,0.498911,31,0.286592,0.645020
pass,agent,3300,0.503871,0.498114,31,0.324943,0.682799
pass,agent,3350,0.482143,0.495919,28,0.294703,0.669583
pass,agent,3400,0.468889,0.499979,27,0.276447,0.661331
pass,agent,3450,0.503077,0.506997,26,0.304216,0.701938
pass,patient,0,0.439643,0.485149,168,0.364783,0.514503
pass,patient,50,0.413690,0.480285,168,0.339581,0.487800
pass,patient,100,0.395000,0.483846,168,0.320341,0.469659
pass,patient,150,0.427143,0.461999,168,0.355855,0.498431
pass,patient,200,0.467024,0.456354,168,0.396607,0.537441
pass,patient,250,0.501429,0.478944,168,0.427526,0.575331
pass,patient,300,0.516786,0.486642,168,0.441695,0.591876
pass,patient,350,0.505952,0.481189,168,0.431703,0.580201
pass,patient,400,0.502143,0.484569,168,0.427372,0.576914
pass,patient,450,0.477500,0.485424,168,0.402597,0.552403
pass,patient,500,0.452976,0.489542,168,0.377438,0.528514
pass,patient,550,0.426548,0.478313,168,0.352742,0.500353
pass,patient,600,0.421071,0.485183,168,0.346206,0.495937
pass,patient,650,0.377619,0.472445,168,0.304719,0.450519
pass,patient,700,0.328929,0.455138,168,0.258699,0.399158
pass,patient,750,0.303690,0.440618,168,0.235702,0.371679
pass,patient,800,0.280238,0.437527,168,0.212726,0.347750
pass,patient,850,0.277619,0.439808,168,0.209755,0.345483
pass,patient,900,0.267857,0.430112,168,0.201489,0.334225
pass,patient,950,0.240357,0.420530,168,0.175468,0.305246
pass,patient,1000,0.240476,0.406892,168,0.177691,0.303261
pass,patient,1050,0.258922,0.426616,167,0.192897,0.324947
pass,patient,1100,0.267439,0.436501,164,0.199269,0.335609
pass,patient,1150,0.297259,0.435535,164,0.229240,0.365278
pass,patient,1200,0.337640,0.461191,161,0.264946,0.410334
pass,patient,1250,0.376051,0.473012,157,0.300550,0.451552
pass,patient,1300,0.356667,0.467863,150,0.280265,0.433068
pass,patient,1350,0.376779,0.474951,149,0.298959,0.454598
pass,patient,1400,0.389796,0.474935,147,0.311452,0.468140
pass,patient,1450,0.383972,0.475666,141,0.303855,0.464088
pass,patient,1500,0.414559,0.482908,136,0.331741,0.497377
pass,patient,1550,0.432121,0.487541,132,0.347251,0.516991
pass,patient,1600,0.423721,0.478185,129,0.339517,0.507925
pass,patient,1650,0.429298,0.485504,127,0.343135,0.515461
pass,patient,1700,0.472819,0.484848,124,0.385737,0.559900
pass,patient,1750,0.520504,0.481195,119,0.432282,0.608726
pass,patient,1800,0.530000,0.491883,114,0.437862,0.622138
pass,patient,1850,0.542162,0.495084,111,0.448180,0.636145
pass,patient,1900,0.513832,0.491731,107,0.418757,0.608907
pass,patient,1950,0.497143,0.485905,105,0.402304,0.591982
pass,patient,2000,0.465686,0.480918,102,0.370450,0.560922
pass,patient,2050,0.469388,0.485409,98,0.371320,0.567455
pass,patient,2100,0.447556,0.483206,90,0.345687,0.549424
pass,patient,2150,0.429412,0.489271,85,0.323274,0.535550
pass,patient,2200,0.472530,0.482288,83,0.366654,0.578406
pass,patient,2250,0.480253,0.489463,79,0.370115,0.590391
pass,patient,2300,0.472000,0.494620,75,0.357772,0.586228
pass,patient,2350,0.473611,0.490562,72,0.357984,0.589238
pass,patient,2400,0.428451,0.483507,71,0.313687,0.543214
pass,patient,2450,0.409091,0.495434,66,0.287124,0.531058
pass,patient,2500,0.392000,0.476482,65,0.273799,0.510201
pass,patient,2550,0.389063,0.477586,64,0.269666,0.508459
pass,patient,2600,0.336452,0.466554,62,0.217947,0.454956
pass,patient,2650,0.357524,0.476612,60,0.234463,0.480585
pass,patient,2700,0.390000,0.489675,56,0.259129,0.520871
pass,patient,2750,0.403846,0.495454,52,0.266432,0.541260
pass,patient,2800,0.433061,0.496413,49,0.291229,0.574894
pass,patient,2850,0.415652,0.485028,46,0.272625,0.558679
pass,patient,2900,0.401395,0.477062,43,0.255893,0.546898
pass,patient,2950,0.457073,0.492048,41,0.303383,0.610763
pass,patient,3000,0.468000,0.498157,40,0.310469,0.625531
pass,patient,3050,0.510000,0.494483,38,0.349569,0.670431
pass,patient,3100,0.470526,0.502830,38,0.307387,0.633666
pass,patient,3150,0.470303,0.497899,33,0.296957,0.643649
pass,patient,3200,0.447273,0.499245,33,0.273458,0.621087
pass,patient,3250,0.469032,0.498473,31,0.289975,0.648089
pass,patient,3300,0.431613,0.493255,31,0.254430,0.608795
pass,patient,3350,0.487143,0.500554,28,0.297951,0.676335
pass,patient,3400,0.486667,0.494617,27,0.296288,0.677045
pass,patient,3450,0.410555,0.492845,26,0.217245,0.603864
