participant,item,rt,fluency,sentence_type,word_order,direct
К01,call-1-1-r.png,1353,yes,direct,AVP,1
К01,break-2-2-r.png,1288,yes,inverse,AVP,0
К01,feed-1-2-l.png,1340,yes,direct,AVP,1
К01,eat-2-1-l.png,1678,yes,inverse,AVP,0
К01,wake-2-2-r.png,2861,yes,inverse,AVP,0
К01,pick-1-1-r.png,2056,yes,direct,AVP,1
К01,makelaugh-2-1-l.png,3515,yes,inverse,AVP,0
К01,carry-1-2-l.png,2097,yes,direct,AVP,1
К01,teach-1-1-r.png,3168,yes,direct,AVP,1
К01,open-2-2-r.png,1752,yes,inverse,AVP,0
К01,dress-1-2-l.png,1623,yes,direct,AVP,1
К01,throw-2-1-l.png,1420,yes,inverse,AVP,0
К01,cover-1-1-r.png,2224,yes,direct,AVP,1
К01,wash-2-1-l.png,2249,yes,inverse,AVP,0
К01,paint-1-2-l.png,1275,yes,direct,AVP,1
К01,give_water-1-1-r.png,2844,yes,direct,AVP,1
К01,clean-2-2-r.png,1634,yes,inverse,AVP,0
К01,push-1-2-l.png,2362,yes,direct,AVP,1
К01,water-2-1-l.png,2535,yes,inverse,AVP,0
К01,pour-2-2-r.png,2561,yes,inverse,AVP,0
К01,plant-1-1-r.png,1495,yes,direct,AVP,1
К01,tie-2-1-l.png,3727,yes,inverse,AVP,0
К01,boil-1-2-l.png,4037,yes,direct,AVP,1
К01,shoot-1-1-r.png,2061,yes,direct,AVP,1
К01,hang-2-2-r.png,2297,yes,inverse,AVP,0
К01,treat-1-2-l.png,2791,yes,direct,AVP,1
К01,pull-2-1-l.png,2163,yes,inverse,AVP,0
К01,saw-1-2-l.png,1589,yes,direct,AVP,1
К01,give_water-2-1-l.png,2620,yes,inverse,AVP,0
К01,break-1-2-l.png,1551,yes,direct,AVP,1
К01,push-2-2-r.png,2297,yes,inverse,AVP,0
К01,eat-1-1-r.png,2007,yes,direct,AVP,1
К01,pour-1-2-l.png,1754,yes,direct,AVP,1
К01,pick-2-1-l.png,3464,yes,inverse,AVP,0
К01,tie-1-1-r.png,2241,yes,direct,AVP,1
К01,carry-2-2-r.png,2677,yes,direct,AVP,1
К01,call-2-1-l.png,1542,yes,inverse,AVP,0
К01,clean-1-2-l.png,1299,yes,direct,AVP,1
К01,feed-2-2-r.png,1606,yes,inverse,AVP,0
К01,water-1-1-r.png,1806,yes,direct,AVP,1
К01,wake-1-2-l.png,4232,yes,direct,AVP,1
К01,plant-2-1-l.png,2218,yes,inverse,AVP,0
К01,makelaugh-1-1-r.png,2279,yes,direct,AVP,1
К01,teach-2-1-l.png,2411,yes,inverse,AVP,0
К01,hang-1-2-l.png,1807,yes,direct,AVP,1
К01,dress-2-2-r.png,1293,yes,inverse,AVP,0
К01,pull-1-1-r.png,1627,yes,direct,AVP,1
К01,cut_hair-1-2-l.png,1307,yes,direct,AVP,1
К01,burn-2-1-l.png,1529,yes,inverse,AVP,0
К01,wash-1-1-r.png,1052,yes,direct,AVP,1
К01,saw-2-2-r.png,3049,yes,inverse,AVP,0
К01,shoot-2-1-l.png,1707,yes,inverse,AVP,0
К01,open-1-2-l.png,1486,yes,direct,AVP,1
К01,treat-2-2-r.png,2785,yes,inverse,AVP,0
К01,throw-1-1-r.png,1962,yes,direct,AVP,1
К01,scold-1-2-l.png,1246,yes,direct,AVP,1
К01,cover-2-1-l.png,2146,yes,inverse,AVP,0
К01,hit-1-1-r.png,1851,yes,direct,AVP,1
К01,paint-2-2-r.png,1792,yes,inverse,AVP,0
К01,call-2-2-r.png,2507,yes,inverse,AVP,0
К01,break-1-1-r.png,2002,yes,direct,AVP,1
К01,feed-2-1-l.png,1447,yes,inverse,AVP,0
К01,eat-1-2-l.png,4155,yes,direct,AVP,1
К01,wake-1-1-r.png,2753,yes,direct,AVP,1
К01,pick-2-2-r.png,2154,yes,inverse,AVP,0
К01,makelaugh-1-2-l.png,2868,yes,direct,AVP,1
К01,carry-2-1-l.png,1842,yes,inverse,AVP,0
К01,open-1-1-r.png,1254,yes,direct,AVP,1
К01,dress-2-1-l.png,2345,yes,inverse,AVP,0
К01,throw-1-2-l.png,2695,yes,direct,AVP,1
К01,cut_hair-1-1-r.png,1471,yes,direct,AVP,1
К01,cover-2-2-r.png,3917,yes,inverse,AVP,0
К01,wash-1-2-l.png,1592,yes,direct,AVP,1
К01,give_water-2-2-r.png,2241,yes,inverse,AVP,0
К01,clean-1-1-r.png,2325,yes,direct,AVP,1
К01,push-2-1-l.png,1873,yes,inverse,AVP,0
К01,water-1-2-l.png,1903,yes,direct,AVP,1
К01,pour-1-1-r.png,1932,yes,direct,AVP,1
К01,tie-1-2-l.png,1154,yes,direct,AVP,1
К01,boil-2-1-l.png,2225,yes,inverse,AVP,0
К01,shoot-2-2-r.png,1503,yes,inverse,AVP,0
К01,hang-1-1-r.png,1917,yes,direct,AVP,1
К01,treat-2-1-l.png,3321,yes,inverse,AVP,0
К01,hit-1-2-l.png,1396,yes,direct,AVP,1
К01,saw-2-1-l.png,2361,yes,inverse,AVP,0
К01,break-2-1-l.png,1245,yes,inverse,AVP,0
К01,push-1-1-r.png,1475,yes,direct,AVP,1
К01,eat-2-2-r.png,1908,yes,inverse,AVP,0
К01,pour-2-1-l.png,1936,yes,inverse,AVP,0
К01,pick-1-2-l.png,1126,yes,direct,AVP,1
К01,tie-2-2-r.png,2397,yes,inverse,AVP,0
К01,carry-1-1-r.png,2850,yes,direct,AVP,1
К01,call-1-2-l.png,3003,yes,direct,AVP,1
К01,clean-2-1-l.png,2113,yes,inverse,AVP,0
К01,feed-1-1-r.png,1634,yes,direct,AVP,1
К01,water-2-2-r.png,1177,yes,inverse,AVP,0
К01,wake-2-1-l.png,2581,yes,inverse,AVP,0
К01,plant-1-2-l.png,2357,yes,direct,AVP,1
К01,makelaugh-2-2-r.png,2209,yes,inverse,AVP,0
К01,hang-2-1-l.png,2060,yes,inverse,AVP,0
К01,dress-1-1-r.png,1686,yes,direct,AVP,1
К01,pull-2-2-r.png,1143,yes,inverse,AVP,0
К01,cut_hair-2-1-l.png,1105,yes,inverse,AVP,0
К01,burn-1-2-l.png,2898,yes,direct,AVP,1
К01,wash-2-2-r.png,1511,yes,inverse,AVP,0
К01,saw-1-1-r.png,2198,yes,direct,AVP,1
К01,shoot-1-2-l.png,1506,yes,direct,AVP,1
К01,open-2-1-l.png,1561,yes,inverse,AVP,0
К01,treat-1-1-r.png,1801,yes,direct,AVP,1
К01,throw-2-2-r.png,2264,yes,inverse,AVP,0
К01,scold-2-1-l.png,1360,yes,inverse,AVP,0
К01,paint-1-1-r.png,1239,yes,direct,AVP,1
К03,call-1-1-r.png,2237,yes,direct,AVP,1
К03,feed-1-2-l.png,3479,yes,direct,AVP,1
К03,eat-2-1-l.png,2511,yes,inverse,AVP,0
К03,pick-1-1-r.png,1615,yes,direct,AVP,1
К03,makelaugh-2-1-l.png,4121,yes,inverse,AVP,0
К03,carry-1-2-l.png,2685,yes,direct,AVP,1
К03,open-2-2-r.png,2520,yes,inverse,AVP,0
К03,dress-1-2-l.png,3123,yes,direct,AVP,1
К03,cut_hair-2-2-r.png,1714,yes,inverse,AVP,0
К03,cover-1-1-r.png,4668,yes,direct,AVP,1
К03,wash-2-1-l.png,2592,yes,inverse,AVP,0
К03,paint-1-2-l.png,3612,yes,direct,AVP,1
К03,give_water-1-1-r.png,2857,yes,direct,AVP,1
К03,clean-2-2-r.png,2996,yes,inverse,AVP,0
К03,water-2-1-l.png,2358,yes,inverse,AVP,0
К03,pour-2-2-r.png,3021,yes,inverse,AVP,0
К03,tie-2-1-l.png,3088,yes,inverse,AVP,0
К03,boil-1-2-l.png,3205,yes,direct,AVP,1
К03,shoot-1-1-r.png,1909,yes,direct,AVP,1
К03,hang-2-2-r.png,3872,yes,inverse,AVP,0
К03,treat-1-2-l.png,2384,yes,direct,AVP,1
К03,pull-2-1-l.png,2747,yes,inverse,AVP,0
К03,scold-2-2-r.png,2232,yes,inverse,AVP,0
К03,burn-1-1-r.png,3065,yes,direct,AVP,1
К03,hit-2-1-l.png,2290,yes,inverse,AVP,0
К03,give_water-2-1-l.png,5903,yes,inverse,AVP,0
К03,eat-1-1-r.png,2662,yes,direct,AVP,1
К03,pour-1-2-l.png,2227,yes,direct,AVP,1
К03,pick-2-1-l.png,1678,yes,inverse,AVP,0
К03,tie-1-1-r.png,1515,yes,direct,AVP,1
К03,carry-2-2-r.png,1988,yes,inverse,AVP,0
К03,call-2-1-l.png,2126,yes,inverse,AVP,0
К03,clean-1-2-l.png,1414,yes,direct,AVP,1
К03,water-1-1-r.png,1435,yes,direct,AVP,1
К03,wake-1-2-l.png,2323,yes,direct,AVP,1
К03,plant-2-1-l.png,1345,yes,inverse,AVP,0
К03,makelaugh-1-1-r.png,2620,yes,direct,AVP,1
К03,teach-2-1-l.png,1939,yes,inverse,AVP,0
К03,hang-1-2-l.png,2254,yes,direct,AVP,1
К03,pull-1-1-r.png,1291,yes,direct,AVP,1
К03,cut_hair-1-2-l.png,2002,yes,direct,AVP,1
К03,burn-2-1-l.png,2738,yes,inverse,AVP,0
К03,wash-1-1-r.png,1637,yes,direct,AVP,1
К03,saw-2-2-r.png,2382,yes,inverse,AVP,0
К03,shoot-2-1-l.png,2566,yes,inverse,AVP,0
К03,open-1-2-l.png,2008,yes,direct,AVP,1
К03,treat-2-2-r.png,3587,yes,inverse,AVP,0
К03,cover-2-1-l.png,4612,yes,inverse,AVP,0
К03,hit-1-1-r.png,1561,yes,direct,AVP,1
К03,call-2-2-r.png,3282,yes,inverse,AVP,0
К03,break-1-1-r.png,2134,yes,direct,AVP,1
К03,feed-2-1-l.png,2723,yes,inverse,AVP,0
К03,eat-1-2-l.png,2901,yes,direct,AVP,1
К03,wake-1-1-r.png,2248,yes,direct,AVP,1
К03,pick-2-2-r.png,1787,yes,inverse,AVP,0
К03,makelaugh-1-2-l.png,2917,yes,direct,AVP,1
К03,carry-2-1-l.png,2143,yes,inverse,AVP,0
К03,teach-2-2-r.png,4072,yes,inverse,AVP,0
К03,open-1-1-r.png,2141,yes,direct,AVP,1
К03,dress-2-1-l.png,2500,yes,inverse,AVP,0
К03,cut_hair-1-1-r.png,1832,yes,direct,AVP,1
К03,cover-2-2-r.png,3336,yes,inverse,AVP,0
К03,wash-1-2-l.png,1913,yes,direct,AVP,1
К03,give_water-2-2-r.png,3765,yes,inverse,AVP,0
К03,clean-1-1-r.png,2514,yes,direct,AVP,1
К03,water-1-2-l.png,3002,yes,direct,AVP,1
К03,pour-1-1-r.png,2513,yes,direct,AVP,1
К03,plant-2-2-r.png,3143,yes,inverse,AVP,0
К03,tie-1-2-l.png,1925,yes,direct,AVP,1
К03,boil-2-1-l.png,2447,yes,inverse,AVP,0
К03,shoot-2-2-r.png,1841,yes,inverse,AVP,0
К03,hang-1-1-r.png,2498,yes,direct,AVP,1
К03,treat-2-1-l.png,3309,yes,inverse,AVP,0
К03,pull-1-2-l.png,1964,yes,direct,AVP,1
К03,scold-1-1-r.png,2250,yes,direct,AVP,1
К03,burn-2-2-r.png,3547,yes,inverse,AVP,0
К03,hit-1-2-l.png,3937,yes,direct,AVP,1
К03,give_water-1-2-l.png,2500,yes,direct,AVP,1
К03,break-2-1-l.png,1697,yes,inverse,AVP,0
К03,eat-2-2-r.png,2171,yes,inverse,AVP,0
К03,pour-2-1-l.png,1635,yes,inverse,AVP,0
К03,pick-1-2-l.png,1438,yes,direct,AVP,1
К03,tie-2-2-r.png,1587,yes,inverse,AVP,0
К03,carry-1-1-r.png,1402,yes,direct,AVP,1
К03,call-1-2-l.png,1860,yes,direct,AVP,1
К03,clean-2-1-l.png,1513,yes,inverse,AVP,0
К03,feed-1-1-r.png,1323,yes,direct,AVP,1
К03,wake-2-1-l.png,2504,yes,inverse,AVP,0
К03,plant-1-2-l.png,2650,yes,direct,AVP,1
К03,boil-1-1-r.png,2054,yes,direct,AVP,1
К03,teach-1-2-l.png,2629,yes,direct,AVP,1
К03,hang-2-1-l.png,1425,yes,inverse,AVP,0
К03,dress-1-1-r.png,2175,yes,direct,AVP,1
К03,pull-2-2-r.png,2270,yes,inverse,AVP,0
К03,cut_hair-2-1-l.png,2052,yes,inverse,AVP,0
К03,burn-1-2-l.png,2037,yes,direct,AVP,1
К03,wash-2-2-r.png,1811,yes,inverse,AVP,0
К03,shoot-1-2-l.png,1851,yes,direct,AVP,1
К03,open-2-1-l.png,1687,yes,inverse,AVP,0
К03,treat-1-1-r.png,1797,yes,direct,AVP,1
К03,scold-2-1-l.png,3306,yes,inverse,AVP,0
К03,cover-1-2-l.png,2063,yes,direct,AVP,1
К03,hit-2-2-r.png,2418,yes,inverse,AVP,0
К03,paint-1-1-r.png,3131,yes,direct,AVP,1
К04,eat-2-1-l.png,3832,yes,inverse,AVP,0
К04,wake-2-2-r.png,3555,yes,inverse,AVP,0
К04,open-2-2-r.png,2671,yes,inverse,AVP,0
К04,cut_hair-2-2-r.png,3852,yes,inverse,AVP,0
К04,cover-1-1-r.png,3014,yes,direct,AVP,1
К04,paint-1-2-l.png,2064,yes,direct,AVP,1
К04,give_water-1-1-r.png,3464,yes,direct,AVP,1
К04,pour-2-2-r.png,4714,yes,inverse,AVP,0
К04,scold-2-2-r.png,3219,yes,inverse,AVP,0
К04,hit-2-1-l.png,2138,yes,inverse,AVP,0
К04,break-1-2-l.png,3263,yes,direct,AVP,1
К04,push-2-2-r.png,3163,yes,direct,AVP,1
К04,eat-1-1-r.png,1964,yes,direct,AVP,1
К04,pour-1-2-l.png,2519,yes,direct,AVP,1
К04,feed-2-2-r.png,2914,yes,inverse,AVP,0
К04,water-1-1-r.png,1629,yes,direct,AVP,1
К04,wake-1-2-l.png,2620,yes,direct,AVP,1
К04,plant-2-1-l.png,4163,yes,inverse,AVP,0
К04,boil-2-2-r.png,2478,yes,inverse,AVP,0
К04,hang-1-2-l.png,2895,yes,direct,AVP,1
К04,cut_hair-1-2-l.png,1902,yes,direct,AVP,1
К04,burn-2-1-l.png,2137,yes,inverse,AVP,0
К04,open-1-2-l.png,2557,yes,direct,AVP,1
К04,scold-1-2-l.png,3358,yes,direct,AVP,1
К04,cover-2-1-l.png,2434,yes,inverse,AVP,0
К04,hit-1-1-r.png,2251,yes,direct,AVP,1
К04,feed-2-1-l.png,3435,yes,direct,AVP,1
К04,eat-1-2-l.png,2867,yes,direct,AVP,1
К04,wake-1-1-r.png,3980,yes,direct,AVP,1
К04,pick-2-2-r.png,2596,yes,inverse,AVP,0
К04,teach-2-2-r.png,3899,yes,inverse,AVP,0
К04,open-1-1-r.png,1669,yes,direct,AVP,1
К04,dress-2-1-l.png,4034,yes,inverse,AVP,0
К04,cover-2-2-r.png,2270,yes,inverse,AVP,0
К04,wash-1-2-l.png,2820,yes,direct,AVP,1
К04,paint-2-1-l.png,1943,yes,inverse,AVP,0
К04,give_water-2-2-r.png,4416,yes,inverse,AVP,0
К04,pour-1-1-r.png,2719,yes,direct,AVP,1
К04,tie-1-2-l.png,3201,yes,direct,AVP,1
К04,hang-1-1-r.png,3259,yes,direct,AVP,1
К04,treat-2-1-l.png,4540,yes,inverse,AVP,0
К04,scold-1-1-r.png,2575,yes,direct,AVP,1
К04,hit-1-2-l.png,2316,yes,direct,AVP,1
К04,give_water-1-2-l.png,2927,yes,direct,AVP,1
К04,push-1-1-r.png,2590,yes,direct,AVP,1
К04,eat-2-2-r.png,2618,yes,inverse,AVP,0
К04,pour-2-1-l.png,2581,yes,inverse,AVP,0
К04,carry-1-1-r.png,1599,yes,direct,AVP,1
К04,call-1-2-l.png,1876,yes,direct,AVP,1
К04,feed-1-1-r.png,3717,yes,direct,AVP,1
К04,water-2-2-r.png,1529,yes,inverse,AVP,0
К04,wake-2-1-l.png,2828,yes,inverse,AVP,0
К04,plant-1-2-l.png,1426,yes,direct,AVP,1
К04,boil-1-1-r.png,3061,yes,direct,AVP,1
К04,teach-1-2-l.png,2368,yes,direct,AVP,1
К04,hang-2-1-l.png,3765,yes,inverse,AVP,0
К04,pull-2-2-r.png,2306,yes,inverse,AVP,0
К04,cut_hair-2-1-l.png,2168,yes,inverse,AVP,0
К04,burn-1-2-l.png,2088,yes,direct,AVP,1
К04,saw-1-1-r.png,2857,yes,direct,AVP,1
К04,shoot-1-2-l.png,2397,yes,direct,AVP,1
К04,open-2-1-l.png,1954,yes,inverse,AVP,0
К04,treat-1-1-r.png,2604,yes,direct,AVP,1
К04,scold-2-1-l.png,2703,yes,inverse,AVP,0
К04,cover-1-2-l.png,2056,yes,direct,AVP,1
К04,hit-2-2-r.png,2711,yes,inverse,AVP,0
К04,paint-1-1-r.png,2773,yes,direct,AVP,1
К05,call-1-1-r.png,2227,yes,direct,AVP,1
К05,break-2-2-r.png,2654,yes,inverse,AVP,0
К05,feed-1-2-l.png,2204,yes,direct,AVP,1
К05,eat-2-1-l.png,3371,yes,inverse,AVP,0
К05,wake-2-2-r.png,3403,yes,inverse,AVP,0
К05,pick-1-1-r.png,2781,yes,direct,AVP,1
К05,makelaugh-2-1-l.png,3053,yes,direct,AVP,1
К05,teach-1-1-r.png,4393,yes,direct,AVP,1
К05,cut_hair-2-2-r.png,4423,yes,inverse,AVP,0
К05,cover-1-1-r.png,2179,yes,direct,AVP,1
К05,wash-2-1-l.png,1878,yes,inverse,AVP,0
К05,paint-1-2-l.png,1693,yes,direct,AVP,1
К05,give_water-1-1-r.png,3274,yes,direct,AVP,1
К05,plant-1-1-r.png,3166,yes,direct,AVP,1
К05,shoot-1-1-r.png,4009,yes,direct,AVP,1
К05,treat-1-2-l.png,2932,yes,direct,AVP,1
К05,scold-2-2-r.png,1745,yes,inverse,AVP,0
К05,saw-1-2-l.png,1479,yes,inverse,AVP,0
К05,give_water-2-1-l.png,3480,yes,inverse,AVP,0
К05,break-1-2-l.png,1680,yes,direct,AVP,1
К05,eat-1-1-r.png,2426,yes,direct,AVP,1
К05,pour-1-2-l.png,2502,yes,direct,AVP,1
К05,pick-2-1-l.png,1709,yes,inverse,AVP,0
К05,carry-2-2-r.png,2555,yes,inverse,AVP,0
К05,call-2-1-l.png,5810,yes,inverse,AVP,0
К05,feed-2-2-r.png,3780,yes,inverse,AVP,0
К05,water-1-1-r.png,3145,yes,direct,AVP,1
К05,wake-1-2-l.png,2076,yes,direct,AVP,1
К05,plant-2-1-l.png,1926,yes,inverse,AVP,0
К05,makelaugh-1-1-r.png,4518,yes,direct,AVP,1
К05,boil-2-2-r.png,2008,yes,inverse,AVP,0
К05,hang-1-2-l.png,1684,yes,direct,AVP,1
К05,dress-2-2-r.png,1913,yes,inverse,AVP,0
К05,cut_hair-1-2-l.png,1526,yes,direct,AVP,1
К05,burn-2-1-l.png,2055,yes,inverse,AVP,0
К05,wash-1-1-r.png,1975,yes,direct,AVP,1
К05,saw-2-2-r.png,1548,yes,inverse,AVP,0
К05,shoot-2-1-l.png,2057,yes,inverse,AVP,0
К05,open-1-2-l.png,1539,yes,direct,AVP,1
К05,treat-2-2-r.png,3489,yes,inverse,AVP,0
К05,throw-1-1-r.png,1734,yes,direct,AVP,1
К05,scold-1-2-l.png,1674,yes,direct,AVP,1
К05,hit-1-1-r.png,2003,yes,direct,AVP,1
К05,call-2-2-r.png,1970,yes,inverse,AVP,0
К05,break-1-1-r.png,1818,yes,direct,AVP,1
К05,feed-2-1-l.png,1887,yes,inverse,AVP,0
К05,wake-1-1-r.png,2069,yes,direct,AVP,1
К05,pick-2-2-r.png,3131,yes,direct,AVP,1
К05,open-1-1-r.png,1810,yes,direct,AVP,1
К05,throw-1-2-l.png,1709,yes,direct,AVP,1
К05,cut_hair-1-1-r.png,1737,yes,direct,AVP,1
К05,wash-1-2-l.png,2328,yes,direct,AVP,1
К05,paint-2-1-l.png,1471,yes,inverse,AVP,0
К05,give_water-2-2-r.png,3574,yes,inverse,AVP,0
К05,clean-1-1-r.png,2979,yes,direct,AVP,1
К05,water-1-2-l.png,1447,yes,direct,AVP,1
К05,pour-1-1-r.png,2523,yes,direct,AVP,1
К05,plant-2-2-r.png,2656,yes,inverse,AVP,0
К05,tie-1-2-l.png,1503,yes,inverse,AVP,0
К05,boil-2-1-l.png,1959,yes,inverse,AVP,0
К05,hang-1-1-r.png,2095,yes,direct,AVP,1
К05,treat-2-1-l.png,3241,yes,inverse,AVP,0
К05,pull-1-2-l.png,2458,yes,direct,AVP,1
К05,scold-1-1-r.png,1893,yes,direct,AVP,1
К05,burn-2-2-r.png,1834,yes,inverse,AVP,0
К05,saw-2-1-l.png,2012,yes,inverse,AVP,0
К05,give_water-1-2-l.png,3147,yes,direct,AVP,1
К05,break-2-1-l.png,1633,yes,inverse,AVP,0
К05,push-1-1-r.png,1941,yes,direct,AVP,1
К05,pour-2-1-l.png,1459,yes,inverse,AVP,0
К05,pick-1-2-l.png,1583,yes,direct,AVP,1
К05,tie-2-2-r.png,1231,yes,inverse,AVP,0
К05,carry-1-1-r.png,3434,yes,direct,AVP,1
К05,call-1-2-l.png,2038,yes,inverse,AVP,0
К05,feed-1-1-r.png,1324,yes,direct,AVP,1
К05,water-2-2-r.png,1253,yes,inverse,AVP,0
К05,wake-2-1-l.png,1452,yes,inverse,AVP,0
К05,plant-1-2-l.png,1461,yes,direct,AVP,1
К05,boil-1-1-r.png,2122,yes,direct,AVP,1
К05,teach-1-2-l.png,3610,yes,inverse,AVP,0
К05,hang-2-1-l.png,2323,yes,inverse,AVP,0
К05,dress-1-1-r.png,1572,yes,direct,AVP,1
К05,cut_hair-2-1-l.png,1498,yes,inverse,AVP,0
К05,burn-1-2-l.png,1488,yes,direct,AVP,1
К05,wash-2-2-r.png,1280,yes,inverse,AVP,0
К05,saw-1-1-r.png,1573,yes,direct,AVP,1
К05,shoot-1-2-l.png,1211,yes,direct,AVP,1
К05,open-2-1-l.png,1658,yes,inverse,AVP,0
К05,scold-2-1-l.png,1625,yes,inverse,AVP,0
К05,cover-1-2-l.png,2053,yes,direct,AVP,1
К05,hit-2-2-r.png,2569,yes,inverse,AVP,0
К05,paint-1-1-r.png,2316,yes,direct,AVP,1
К06,call-1-1-r.png,3286,yes,direct,AVP,1
К06,break-2-2-r.png,1459,yes,inverse,AVP,0
К06,feed-1-2-l.png,2517,yes,direct,AVP,1
К06,eat-2-1-l.png,3587,yes,inverse,AVP,0
К06,wake-2-2-r.png,3311,yes,inverse,AVP,0
К06,pick-1-1-r.png,1601,yes,direct,AVP,1
К06,makelaugh-2-1-l.png,2364,yes,inverse,AVP,0
К06,teach-1-1-r.png,2887,yes,direct,AVP,1
К06,throw-2-1-l.png,1394,yes,inverse,AVP,0
К06,cut_hair-2-2-r.png,2173,yes,inverse,AVP,0
К06,cover-1-1-r.png,1378,yes,direct,AVP,1
К06,wash-2-1-l.png,1524,yes,inverse,AVP,0
К06,paint-1-2-l.png,1196,yes,direct,AVP,1
К06,give_water-1-1-r.png,2782,yes,direct,AVP,1
К06,pour-2-2-r.png,1867,yes,inverse,AVP,0
К06,plant-1-1-r.png,1502,yes,direct,AVP,1
К06,tie-2-1-l.png,1735,yes,inverse,AVP,0
К06,boil-1-2-l.png,3721,yes,direct,AVP,1
К06,shoot-1-1-r.png,1735,yes,direct,AVP,1
К06,treat-1-2-l.png,1884,yes,direct,AVP,1
К06,pull-2-1-l.png,1289,yes,inverse,AVP,0
К06,scold-2-2-r.png,1233,yes,inverse,AVP,0
К06,burn-1-1-r.png,2451,yes,direct,AVP,1
К06,saw-1-2-l.png,2644,yes,direct,AVP,1
К06,eat-1-1-r.png,2408,yes,direct,AVP,1
К06,pour-1-2-l.png,1485,yes,direct,AVP,1
К06,pick-2-1-l.png,1144,yes,inverse,AVP,0
К06,tie-1-1-r.png,1502,yes,direct,AVP,1
К06,carry-2-2-r.png,2049,yes,inverse,AVP,0
К06,call-2-1-l.png,1649,yes,inverse,AVP,0
К06,feed-2-2-r.png,2619,yes,inverse,AVP,0
К06,water-1-1-r.png,2401,yes,direct,AVP,1
К06,wake-1-2-l.png,1468,yes,direct,AVP,1
К06,plant-2-1-l.png,2125,yes,inverse,AVP,0
К06,makelaugh-1-1-r.png,2305,yes,direct,AVP,1
К06,teach-2-1-l.png,3318,yes,inverse,AVP,0
К06,hang-1-2-l.png,1369,yes,direct,AVP,1
К06,dress-2-2-r.png,2719,yes,inverse,AVP,0
К06,cut_hair-1-2-l.png,1273,yes,direct,AVP,1
К06,burn-2-1-l.png,3435,yes,inverse,AVP,0
К06,wash-1-1-r.png,1877,yes,direct,AVP,1
К06,saw-2-2-r.png,3175,yes,inverse,AVP,0
К06,open-1-2-l.png,2132,yes,direct,AVP,1
К06,treat-2-2-r.png,3450,yes,inverse,AVP,0
К06,throw-1-1-r.png,1029,yes,direct,AVP,1
К06,scold-1-2-l.png,1366,yes,direct,AVP,1
К06,hit-1-1-r.png,1743,yes,direct,AVP,1
К06,break-1-1-r.png,1599,yes,direct,AVP,1
К06,eat-1-2-l.png,1801,yes,direct,AVP,1
К06,wake-1-1-r.png,1618,yes,direct,AVP,1
К06,pick-2-2-r.png,1260,yes,inverse,AVP,0
К06,makelaugh-1-2-l.png,4377,yes,direct,AVP,1
К06,teach-2-2-r.png,3305,yes,inverse,AVP,0
К06,open-1-1-r.png,1370,yes,direct,AVP,1
К06,dress-2-1-l.png,2854,yes,inverse,AVP,0
К06,throw-1-2-l.png,2003,yes,direct,AVP,1
К06,cut_hair-1-1-r.png,1623,yes,direct,AVP,1
К06,cover-2-2-r.png,2135,yes,inverse,AVP,0
К06,wash-1-2-l.png,3056,yes,direct,AVP,1
К06,paint-2-1-l.png,1244,yes,inverse,AVP,0
К06,clean-1-1-r.png,2389,yes,direct,AVP,1
К06,pour-1-1-r.png,2103,yes,direct,AVP,1
К06,tie-1-2-l.png,1364,yes,direct,AVP,1
